id,name,faculty_or_school,degree_or_award,category,mode,duration_or_units,admissions_choice_name,specialisations_or_majors,source_url,source_title,evidence_confidence,notes,duplicate_name_note
nus-ug-001,Bachelor of Business Administration with Honours,NUS Business School,Bachelor of Business Administration (Honours),degree_programme,full-time,160 units,Business Administration,Accountancy; Applied Business Analytics; Business Economics; Finance; Innovation and Entrepreneurship; Leadership and Human Capital Management; Marketing; Operations and Supply Chain Management; Real Estate,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-002,Bachelor of Business Administration (Accountancy) with Honours,NUS Business School,Bachelor of Business Administration (Accountancy) (Honours),degree_programme,full-time,160 units,Business Administration / Accountancy-related pathway,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-003,Bachelor of Business Administration (Real Estate) with Honours,NUS Business School,Bachelor of Business Administration (Real Estate) (Honours),degree_programme,full-time,160 units,Business Administration / Real Estate-related pathway,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-004,BBA Major: Accountancy,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-005,BBA Major: Applied Business Analytics,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-006,BBA Major: Business Economics,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-007,BBA Major: Finance,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-008,BBA Major: Innovation and Entrepreneurship,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-009,BBA Major: Leadership and Human Capital Management,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-010,BBA Major: Marketing,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
